#,Year,Title,Authors,Journal,Journal data,DOI
43,2020,Humidity related magnetite alteration in an experimental setup,"Qi Zhang, Erwin Appel, Helge Stanjek, James M Byrne, Christoph Berthold, Julian Sorwat, Wolfgang Rösler, Timo Seemann",Geophysical Journal International,,https://doi.org/10.1093/gji/ggaa394
44,2020,Reusable magnetite nanoparticles–biochar composites for the efficient removal of chromate from water,"Md. Samrat Alam, Brendan Bishop, Ning Chen, Salman Safari, Viola Warter, James M. Byrne, Tyler Warchola, Andreas Kappler, Kurt O. Konhauser, Daniel S. Alessi",Scientific Reports,,https://doi.org/10.1038/s41598-020-75924-7
45,2020,Impact of reactive surfaces on the abiotic reaction between nitrite and ferrous iron and associated nitrogen and oxygen isotope dynamics,"Anna-Neva Visser, Scott D. Wankel, Pascal A. Niklaus, James M. Byrne, Andreas A. Kappler, Moritz F. Lehmann",Biogeosciences,,https://doi.org/10.5194/bg-17-4355-2020
46,2020,"Bacterial production of vanadium ferrite spinel (Fe,V)<sub>3</sub>O<sub>4</sub> nanoparticles","Victoria S Coker, Gerrit van der Laan, Neil D Telling, Jonathan R Lloyd, James M Byrne, Elke Arenholz, Richard AD Pattrick",Mineralogical Magazine,,https://doi.org/10.1180/mgm.2020.55
47,2019,Mineral Defects Enhance Bioavailability of Goethite toward Microbial Fe(III) Reduction,"Luiza Notini, James M. Byrne, Elizabeth J. Tomaszewski, Drew E. Latta, Zhe Zhou, Michelle M. Scherer, Andreas Kappler",Environmental Science & Technology,,https://doi.org/10.1021/acs.est.9b03208
48,2019,Analytical Geomicrobiology,,,,https://doi.org/10.1017/9781107707399
49,2019,Formation of green rust and elemental sulfur in an analogue for oxygenated ferro-euxinic transition zones of Precambrian oceans,"Koeksoy, E., Sundman, A., Byrne, J. M., Lohmayer, R., Planer-Friedrich, B., Halevy, I., Konhauser, K. O., Kappler, A.",Geology,,https://doi.org/10.1130/G45501.1
50,2019,H-2-fuelled microbial metabolism in Opalinus Clay,"Boylan, Aislinn A., Perez-Mon, Carla, Guillard, Laurent, Burzan, Niels, Loreggian, Luca, Maisch, Markus, Kappler, Andreas, Byrne, James M., Bernier-Latmani, Rizlan",Applied Clay Science,,https://doi.org/10.1016/J.CLAY.2019.03.020
51,2019,Pyrite formation from FeS and H2S is mediated through microbial redox activity,"Thiel, Joana, Byrne, James M., Kappler, Andreas, Schink, Bernhard, Pester, Michael",Proceedings of the National Academy of Sciences,,https://doi.org/10.1073/PNAS.1814412116
52,2018,Impact of Organic Matter on Iron(II)-Catalyzed Mineral Transformations in Ferrihydrite–Organic Matter Coprecipitates,"Laurel K. ThomasArrigo, James M. Byrne, Andreas Kappler, Ruben Kretzschmar",Environmental Science & Technology,,https://doi.org/10.1021/acs.est.8b03206
53,2018,Proteome Response of a Metabolically Flexible Anoxygenic Phototroph to Fe(II) Oxidation,"Casey Bryce, Mirita Franz-Wachtel, Nicolas C. Nalpas, Jennyfer Miot, Karim Benzerara, James M. Byrne, Sara Kleindienst, Boris Macek, Andreas Kappler, Volker Müller",Applied and Environmental Microbiology,,https://doi.org/10.1128/AEM.01166-18
54,2018,Imaging Organic–Mineral Aggregates Formed by Fe(II)-Oxidizing Bacteria Using Helium Ion Microscopy,"James M. Byrne, Matthias Schmidt, Tina Gauger, Casey Bryce, Andreas Kappler",Environmental Science & Technology Letters,,https://doi.org/10.1021/acs.estlett.8b00077
55,2018,A case study for late Archean and Proterozoic biogeochemical iron- and sulphur cycling in a modern habitatthe Arvadi Spring,"Koeksoy, Elif, Halama, Maximilian, Hagemann, Nikolas, Weigold, Pascal R., Laufer, Katja, Kleindienst, Sara, Byrne, James M., Sundman, Anneli, Hanselmann, Kurt, Halevy, Itay, Schoenberg, Ronny, Konhauser, Kurt O., Kappler, Andreas",Geobiology,,https://doi.org/10.1111/GBI.12293
56,2018,"Magnetite and Green Rust: Synthesis, Properties, and Environmental Applications of Mixed-Valent Iron Minerals","Usman, M., Byrne, J. M., Chaudhary, A., Orsetti, S., Hanna, K., Ruby, C., Kappler, A., Haderlein, S. B.",Chemical Reviews,,https://doi.org/10.1021/ACS.CHEMREV.7B00224
57,2018,"Microbial anaerobic Fe(II) oxidation - Ecology, mechanisms and environmental implications","Bryce, Casey, Blackwell, Nia, Schmidt, Caroline, Otte, Julia, Huang, Yu-Ming, Kleindienst, Sara, Tomaszewski, Elizabeth, Schad, Manuel, Warter, Viola, Peng, Chao, Byrne, James M., Kappler, Andreas",Environmental Microbiology,,https://doi.org/10.1111/1462-2920.14328
